year,N,r
1950,539.190005,0.017845903
1951,548.89871,0.017551564
1952,558.617784,0.023052839
1953,571.645091,0.020473311
1954,583.469185,0.022520923
1955,596.758532,0.022496216
1956,610.335483,0.020187249
1957,622.781682,0.024033684
1958,637.930735,0.019524227
1959,650.508223,0.006741151
1960,654.908211,-0.000324197
1961,654.695926,0.003286382
1962,656.851046,0.024728278
1963,673.296335,0.032889582
1964,695.808956,0.025510269
1965,713.787574,0.026620177
1966,733.043892,0.025212254
1967,751.760534,0.024351204
1968,770.291518,0.027452057
1969,791.730531,0.025956519
1970,812.550133,0.026137081
1971,834.067801,0.023700726
1972,854.071933,0.022245048
1973,873.283695,0.021060134
1974,891.870197,0.018743888
1975,908.744967,0.016093985
1976,923.488619,0.014797945
1977,937.255966,0.013333741
1978,949.836783,0.013229551
1979,962.486186,0.014035033
1980,976.089953,0.014389695
1981,990.237132,0.015002349
1982,1005.205011,0.016541944
1983,1021.971348,0.01378673
1984,1036.158564,0.014736247
1985,1051.540712,0.015601463
1986,1068.074929,0.01700448
1987,1086.392285,0.01792605
1988,1106.042607,0.016501799
1989,1124.445724,0.016835247
1990,1143.536292,0.017418232
1991,1163.629156,0.012230153
1992,1177.9479,0.011187828
1993,1191.200574,0.010202974
1994,1203.416576,0.009241598
1995,1214.589617,0.009088099
1996,1225.678238,0.008557014
1997,1236.211386,0.007941511
1998,1246.067858,0.007641688
1999,1255.626395,0.007221654
2000,1264.726915,0.007647064
2001,1274.435436,0.006709249
2002,1283.014689,0.005986884
2003,1290.718988,0.005868363
2004,1298.315664,0.005813165
2005,1305.884967,0.006323811
2006,1314.169304,0.005894665
2007,1321.938768,0.005845203
2008,1329.688395,0.006196685
2009,1337.953637,0.006806733
2010,1347.091795,0.00661418
2011,1356.031233,0.006203923
2012,1364.470096,0.007375998
2013,1374.571633,0.006434223
2014,1383.444448,0.006495239
2015,1392.459496,0.005264087
2016,1399.808851,0.006045064
2017,1408.296413,0.005746892
2018,1416.413041,0.003658776
2019,1421.604871,0.002691198
2020,1425.435844,0.000939971
2021,1426.776342,-0.000475415
2022,1426.098192,-0.001289133
2023,1424.260946,
