year,pcEconsum,pop,TaMED,TaUP,TaLO,Econsum,footprint,pcCO2e,CO2eGt
1965,46.7,3.33711206,-0.20442048,-0.15523025,-0.2536107,155.9083335,0.74888245,7.25559,24.21271689
1966,48.2,3.4064169,-0.1488976,-0.09938603,-0.19840918,164.2441018,0.79022839,7.202275,24.53395128
1967,49,3.47544806,-0.117539294,-0.07442179,-0.1606568,170.4284952,0.84843311,7.289422,25.33400755
1968,50.9,3.54681088,-0.16864756,-0.12401963,-0.21327549,180.7322046,0.871892,7.3870196,26.20036149
1969,53.2,3.62065536,-0.03138624,0.009118891,-0.071891375,192.8531605,0.89622386,7.697742,27.87087083
1970,55.4,3.69539021,-0.08506408,-0.044075526,-0.12605265,205.1455632,0.98593174,7.8232393,28.90992192
1971,56.6,3.7701632,-0.20588905,-0.16730586,-0.24447224,213.556375,1.00571405,7.677445,28.94522061
1972,58.4,3.84480077,-0.09379131,-0.055899136,-0.1316835,224.9954257,0.99524248,7.833436,30.11800076
1973,60.6,3.92025139,0.04995016,0.0864213,0.013479018,238.1484492,1.06770707,7.899843,30.9693705
1974,59.8,3.99551693,-0.17252657,-0.13482748,-0.21022564,239.661168,1.08208995,7.7623153,31.0144622
1975,59,4.06943718,-0.110754214,-0.07020333,-0.15130511,240.792555,1.0974476,7.6161876,30.99359699
1976,61,4.14250573,-0.2158369,-0.17581315,-0.25586063,253.6355794,1.11122709,7.7138305,31.95458705
1977,62.2,4.21577242,0.1030885,0.14612031,0.06005668,262.9657396,1.12088286,7.857531,33.12556248
1978,63.6,4.2896576,0.005255972,0.045108557,-0.034596615,273.6342232,1.15203554,7.8781624,33.79461921
1979,64.6,4.36558285,0.09085814,0.11935765,0.062358625,283.0602858,1.19169937,7.740148,33.79025737
1980,62.9,4.44400794,0.19607204,0.2293401,0.16280398,280.6087476,1.1187926,7.610841,33.82263783
1981,61.6,4.52462746,0.25001204,0.28063282,0.21939126,279.4483865,1.11615127,7.279002,32.93477233
1982,60.2,4.60798464,0.034268282,0.0736452,-0.005108635,277.9404673,1.08779794,7.0854273,32.64954017
1983,60.1,4.69188403,0.22380984,0.25957537,0.18804431,282.433281,1.06515295,7.071545,33.17886905
1984,61.8,4.77583616,0.04799352,0.08444688,0.011540157,295.8431215,1.13976606,7.204388,34.40697672
