region,year,pop,popdens,SR,med_age,pgr,births,tfr,nrr,mean_age_childbear,inf_mort_rate
SSA,1950,175982.44,8.129,98.757,17.956,1.968,8310.284,6.416,1.794,29.493,165.681
SSA,1951,179479.684,8.292,98.668,17.957,2.013,8505.194,6.427,1.814,29.494,163.743
SSA,1952,183128.606,8.462,98.596,17.946,2.038,8701.084,6.437,1.833,29.494,161.934
SSA,1953,186898.799,8.636,98.532,17.92,2.04,8907.831,6.453,1.855,29.494,160.106
SSA,1954,190751.518,8.816,98.475,17.883,2.094,9107.788,6.467,1.876,29.493,158.245
SSA,1955,194787.875,9.005,98.42,17.84,2.134,9317.466,6.483,1.898,29.489,156.352
SSA,1956,198989.463,9.201,98.368,17.793,2.177,9535.971,6.501,1.92,29.484,154.502
SSA,1957,203368.011,9.402,98.32,17.742,2.15,9761.802,6.519,1.911,29.471,156.43
SSA,1958,207786.777,9.606,98.273,17.682,2.134,9988.096,6.533,1.931,29.454,154.571
SSA,1959,212269.549,9.822,98.231,17.612,2.309,10216.175,6.55,1.981,29.432,149.065
SSA,1960,217227.851,10.054,98.184,17.545,2.359,10466.758,6.566,2.001,29.41,147.402
SSA,1961,222413.395,10.296,98.123,17.478,2.399,10727.818,6.581,2.019,29.389,145.893
SSA,1962,227813.072,10.548,98.069,17.413,2.437,11002.36,6.598,2.038,29.374,144.325
SSA,1963,233433.701,10.809,98.027,17.352,2.465,11275.103,6.612,2.055,29.371,143.007
SSA,1964,239258.299,11.082,97.986,17.293,2.517,11556.96,6.626,2.075,29.369,141.558
SSA,1965,245356.603,11.366,97.945,17.234,2.54,11849.841,6.639,2.089,29.367,140.43
SSA,1966,251667.328,11.659,97.907,17.16,2.547,12171.342,6.664,2.097,29.375,140.462
SSA,1967,258158.41,11.962,97.871,17.073,2.593,12485.562,6.68,2.121,29.378,138.036
SSA,1968,264940.937,12.279,97.842,16.986,2.633,12811.589,6.693,2.143,29.378,136.258
SSA,1969,272009.351,12.606,97.824,16.898,2.628,13150.331,6.702,2.157,29.363,134.999
SSA,1970,279252.376,12.945,97.811,16.813,2.672,13497.627,6.716,2.175,29.361,133.638
SSA,1971,286814.088,13.294,97.819,16.727,2.651,13873.636,6.736,2.196,29.349,132.224
SSA,1972,294520.154,13.651,97.839,16.64,2.649,14235.184,6.752,2.202,29.344,131.561
SSA,1973,302425.92,14.025,97.856,16.563,2.751,14605.733,6.764,2.232,29.344,129.78
SSA,1974,310861.677,14.419,97.872,16.496,2.79,15026.046,6.779,2.246,29.325,129.743
SSA,1975,319656.099,14.827,97.88,16.431,2.795,15455.547,6.791,2.264,29.329,128.228
SSA,1976,328715.792,15.247,97.878,16.362,2.79,15867.779,6.792,2.292,29.344,124.728
SSA,1977,338014.789,15.673,97.866,16.298,2.722,16295.389,6.795,2.311,29.357,123.092
SSA,1978,347343.301,16.128,97.831,16.249,3.007,16733.681,6.798,2.327,29.381,121.65
SSA,1979,357947.361,16.613,97.799,16.206,2.913,17216.683,6.784,2.341,29.393,119.831
SSA,1980,368526.037,17.097,97.848,16.165,2.836,17670.714,6.767,2.347,29.421,118.512
SSA,1981,379127.967,17.607,97.899,16.127,3.04,18105.617,6.744,2.35,29.454,117.244
SSA,1982,390832.18,18.153,97.899,16.099,3.06,18592.846,6.718,2.355,29.457,115.638
SSA,1983,402975.294,18.697,97.927,16.085,2.852,19107.405,6.684,2.312,29.44,118.889
SSA,1984,414632.88,19.247,97.958,16.076,2.949,19538.377,6.64,2.304,29.451,117.552
SSA,1985,427043.786,19.824,98.02,16.07,2.952,20003.33,6.59,2.298,29.444,115.961
SSA,1986,439836.264,20.414,98.111,16.068,2.919,20442.994,6.542,2.29,29.478,114.446
SSA,1987,452865.927,21.022,98.2,16.073,2.948,20915.467,6.494,2.3,29.48,109.613
SSA,1988,466416.23,21.636,98.287,16.087,2.813,21365.507,6.437,2.266,29.485,112.183
SSA,1989,479724.995,22.26,98.354,16.104,2.87,21810.559,6.375,2.275,29.481,107.866
SSA,1990,493690.625,22.898,98.417,16.125,2.783,22237.22,6.3,2.248,29.464,107.304
SSA,1991,507621.931,23.535,98.462,16.152,2.707,22693.296,6.239,2.214,29.465,108.459
SSA,1992,521548.794,24.185,98.388,16.171,2.741,23148.213,6.178,2.19,29.481,107.676
SSA,1993,536041.128,24.861,98.554,16.201,2.774,23649.09,6.117,2.189,29.464,104.634
SSA,1994,551121.178,25.532,98.496,16.24,2.551,24031.231,6.062,2.122,29.448,104.608
SSA,1995,565363.514,26.217,98.111,16.254,2.742,24713.731,6.003,2.168,29.43,102.275
SSA,1996,581081.976,26.932,97.82,16.234,2.645,25241.325,5.936,2.147,29.393,101.064
SSA,1997,596657.108,27.654,97.648,16.224,2.641,25705.464,5.863,2.128,29.388,99.453
SSA,1998,612623.942,28.401,97.704,16.266,2.69,26205.798,5.811,2.106,29.379,98.535
SSA,1999,629325.46,29.17,97.756,16.323,2.656,26871.664,5.773,2.12,29.349,95.423
SSA,2000,646261.51,29.957,97.812,16.375,2.672,27487.242,5.735,2.12,29.34,92.875
SSA,2001,663765.032,30.772,97.878,16.424,2.691,28090.914,5.693,2.118,29.328,90.367
SSA,2002,681868.808,31.613,97.961,16.473,2.705,28669.515,5.649,2.116,29.335,87.901
SSA,2003,700562.856,32.483,98.062,16.523,2.724,29302.251,5.611,2.121,29.336,85.133
SSA,2004,719906.341,33.384,98.164,16.569,2.748,29993.588,5.585,2.13,29.347,82.218
SSA,2005,739963.236,34.314,98.256,16.607,2.746,30737.648,5.559,2.14,29.327,79.477
SSA,2006,760561.909,35.27,98.343,16.638,2.75,31411.631,5.523,2.147,29.322,76.805
SSA,2007,781768.802,36.256,98.428,16.668,2.765,32029.477,5.479,2.151,29.327,74.243
